GISJOIN,YEAR,REGION,REGIONA,DIVISION,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACE,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHH,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSA,CBSAA,CSA,CSAA,METDIV,METDIVA,NECTA,NECTAA,CNECTA,CNECTAA,NECTADIV,NECTADIVA,UA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELM,SDELMA,SDSEC,SDSECA,SDUNI,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,UEPE001,UEQE001,UEQE002,UEQE003,UEQE004,UEQE005,UEQE006,UEQE007,UEQE008,UEQE009,UEQE010,UEZE001,UEZE002,UEZE003,UGSE001,UGSE002,UGSE003,UGSE004,UGSE005,UGSE006,UGSE007,UGSE008,UGSE009,UGSE010,UGSE011,UGSE012,UGSE013,UGSE014,UGSE015,UGSE016,UGSE017,UGSE018,UGSE019,UGSE020,UGSE021,UGSE022,UGSE023,UGSE024,UGSE025,UG7E001,UG7E002,UG7E003,UG7E004,UG7E005,UG7E006,UG7E007,UG7E008,UILE001,UJAE001,UJ8E001,UJ8E002,UJ8E003,UJ8E004,UJ8E005,UJ8E006,UJ8E007,NAME_M,UEPM001,UEQM001,UEQM002,UEQM003,UEQM004,UEQM005,UEQM006,UEQM007,UEQM008,UEQM009,UEQM010,UEZM001,UEZM002,UEZM003,UGSM001,UGSM002,UGSM003,UGSM004,UGSM005,UGSM006,UGSM007,UGSM008,UGSM009,UGSM010,UGSM011,UGSM012,UGSM013,UGSM014,UGSM015,UGSM016,UGSM017,UGSM018,UGSM019,UGSM020,UGSM021,UGSM022,UGSM023,UGSM024,UGSM025,UG7M001,UG7M002,UG7M003,UG7M004,UG7M005,UG7M006,UG7M007,UG7M008,UILM001,UJAM001,UJ8M001,UJ8M002,UJ8M003,UJ8M004,UJ8M005,UJ8M006,UJ8M007
"G0100010","2009-2013",,,,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",54907,54907,42997,10076,138,525,15,401,755,55,700,54907,53542,1365,35696,615,0,0,0,0,50,29,42,309,161,579,689,1124,909,636,9814,2397,2686,5562,2622,4899,1980,350,243,54519,3354,3261,2554,2127,3798,1768,37657,0.4031,24571,42226,27101,26418,23937,2481,683,15125,"Autauga County, Alabama",0,0,283,187,66,102,25,304,224,67,217,0,0,0,99,202,27,27,27,27,45,25,40,152,97,241,168,237,183,170,673,385,320,551,309,464,322,128,171,116,649,791,584,577,881,561,1392,0.0149,977,155,636,676,708,435,190,618
"G0100030","2009-2013",,,,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",187114,187114,161737,17733,1157,1331,5,2454,2697,273,2424,187114,178792,8322,130063,763,0,0,37,41,141,192,216,947,695,1859,2237,2480,2843,1758,31399,6528,8398,22278,11164,24337,8169,2111,1470,184725,9718,16034,7721,10999,12756,5231,122266,0.4455,26766,149574,90579,90296,81969,8327,283,58995,"Baldwin County, Alabama",0,0,624,461,274,225,9,610,615,224,517,0,0,0,98,212,27,27,35,52,106,137,147,353,250,379,401,368,440,342,1288,590,658,1062,960,1214,679,352,373,464,1293,1827,1279,1703,1697,922,3281,0.0095,647,362,1294,1314,1416,788,110,1308
"G0100050","2009-2013",,,,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",27321,27321,12960,12675,55,152,0,990,489,31,458,27321,25982,1339,18988,446,0,30,0,68,121,8,51,296,299,508,724,923,1061,467,4993,1252,1040,2779,1377,1546,773,171,55,24429,3242,3270,1683,1487,1954,1124,11669,0.4658,16829,22056,10903,10903,9344,1559,0,11153,"Barbour County, Alabama",0,0,210,147,45,132,21,259,126,53,118,0,0,0,88,116,21,27,21,47,60,15,37,97,100,130,164,188,250,125,404,192,210,311,212,245,177,66,35,228,648,532,429,324,440,474,652,0.0146,783,94,443,443,483,237,21,456
"G0100070","2009-2013",,,,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",22754,22754,17461,4937,105,25,0,8,218,0,218,22754,22311,443,15340,248,0,0,21,67,31,38,120,154,315,345,656,698,541,225,5423,833,564,2285,925,1267,416,58,110,21491,1328,2570,1602,1730,2099,556,11606,0.4500,17427,18405,9144,9138,8022,1116,6,9261,"Bibb County, Alabama",0,0,15,210,33,34,21,15,209,21,209,0,0,0,245,150,21,21,33,62,43,38,111,85,162,130,229,177,182,105,481,228,157,411,209,418,125,55,75,168,477,614,497,438,631,318,912,0.0468,1652,151,473,473,515,335,10,474
"G0100090","2009-2013",,,,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",57623,57623,54890,818,197,58,0,681,979,27,952,57623,52823,4800,38846,587,0,3,3,37,149,51,200,519,521,940,1345,2198,1511,873,10657,2806,2814,5539,3396,3107,1223,253,114,57067,3505,5518,3194,4447,3743,1683,34977,0.4144,20730,45482,25523,25498,23015,2483,25,19959,"Blount County, Alabama",0,0,349,160,177,36,27,290,229,31,214,0,0,0,100,158,27,7,6,40,97,43,82,136,206,233,247,425,307,193,533,367,468,510,363,343,260,66,56,154,677,861,633,803,693,416,1348,0.0137,816,171,772,770,788,333,28,756
"G0100110","2009-2013",,,,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",10746,10746,3001,7614,4,6,32,0,89,0,89,10746,10135,611,7510,403,0,0,6,16,114,47,24,96,105,202,256,425,420,307,2223,325,98,1208,297,386,366,158,28,10241,1191,1020,703,959,1245,409,4714,0.4899,18628,8693,4794,4794,4076,718,0,3899,"Bullock County, Alabama",0,0,497,513,10,11,64,18,76,18,76,0,497,497,217,288,18,18,10,20,96,58,35,55,72,107,134,166,166,162,427,137,79,292,124,136,124,120,41,232,456,370,301,397,435,237,590,0.0478,2402,59,450,450,436,201,18,459
"G0100130","2009-2013",,,,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",20624,20624,11300,9024,24,106,0,42,128,34,94,20624,20404,220,14080,244,0,0,2,26,16,18,48,190,248,345,537,470,789,404,4582,630,666,1867,1027,1232,606,61,72,20310,2101,3675,1485,1345,1794,746,9164,0.4659,17403,16242,8954,8929,7606,1323,25,7288,"Butler County, Alabama",0,0,56,118,20,87,21,56,79,52,48,0,0,0,40,90,21,21,5,24,24,21,41,64,81,89,145,124,157,91,374,155,149,249,233,190,139,37,56,146,380,566,360,317,377,218,614,0.0204,957,77,324,324,340,233,28,335
"G0100150","2009-2013",,,,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",117714,117714,88358,24385,314,854,24,1694,2085,158,1927,117714,113761,3953,78545,1176,0,12,14,160,187,113,225,761,1105,1963,2210,3338,3788,1748,20825,5041,5462,12346,5445,7960,3455,609,602,114825,11066,14039,6144,6750,8704,3333,64789,0.4594,20828,93992,53488,53199,45644,7555,289,40504,"Calhoun County, Alabama",0,0,456,314,125,156,34,447,435,165,404,0,0,0,139,230,27,19,23,116,93,61,139,227,268,295,252,374,433,286,940,421,495,743,508,635,463,177,198,412,1329,1461,905,1032,1279,614,1974,0.0120,556,205,777,778,937,592,114,768
"G0100170","2009-2013",,,,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",34145,34145,19881,13737,30,186,13,25,273,18,255,34145,33971,174,23756,417,0,6,23,45,42,58,127,269,328,427,993,1331,1182,657,6701,1824,1602,3478,1442,1852,720,122,110,33655,3904,4210,2211,2191,2562,1059,17518,0.4773,19291,27501,15463,15458,12802,2656,5,12038,"Chambers County, Alabama",0,0,82,144,34,33,20,34,125,26,125,0,108,108,30,112,24,9,27,43,33,33,87,91,113,129,226,225,206,143,487,273,222,370,249,272,131,53,58,112,659,708,426,529,570,349,897,0.0196,1073,116,462,464,485,386,8,477
"G0100190","2009-2013",,,,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",26034,26034,24216,1257,126,73,4,38,320,12,308,26034,25677,357,18777,280,0,0,0,0,8,54,224,297,236,518,566,819,646,420,5523,985,1419,3136,1234,1416,674,192,130,25547,1610,3805,1447,1202,2444,648,14391,0.4639,22030,21225,11437,11417,10217,1200,20,9788,"Cherokee County, Alabama",0,0,87,106,62,11,9,56,97,20,93,0,0,0,147,115,21,21,21,21,12,41,121,121,88,171,169,182,194,138,516,194,256,351,211,246,153,80,84,130,458,857,362,355,599,370,1146,0.0250,1618,125,485,485,495,251,33,453
